p_index_int,"acc_tag","acc_txt","replaceText","print_index","Print_index_a0000"
170,"_2202_","2202","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2202_','a00170') WHERE 1; ","170","a00170"
171,"_2092_","2092","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2092_','a00171') WHERE 1; ","171","a00171"
172,"_1752_","1752","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1752_','a00172') WHERE 1; ","172","a00172"
173,"_1754_","1754","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1754_','a00173') WHERE 1; ","173","a00173"
174,"_1755_","1755","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1755_','a00174') WHERE 1; ","174","a00174"
175,"_1847_","1847","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1847_','a00175') WHERE 1; ","175","a00175"
176,"_1778_","1778","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1778_','a00176') WHERE 1; ","176","a00176"
177,"_1839_","1839","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1839_','a00177') WHERE 1; ","177","a00177"
178,"_1746_","1746","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1746_','a00178') WHERE 1; ","178","a00178"
179,"_1767_","1767","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1767_','a00179') WHERE 1; ","179","a00179"
180,"_1946_","1946","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1946_','a00180') WHERE 1; ","180","a00180"
181,"_1837_","1837","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1837_','a00181') WHERE 1; ","181","a00181"
182,"_2091_","2091","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2091_','a00182') WHERE 1; ","182","a00182"
183,"_1792_","1792","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1792_','a00183') WHERE 1; ","183","a00183"
184,"_1808_","1808","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1808_','a00184') WHERE 1; ","184","a00184"
185,"_1799_","1799","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1799_','a00185') WHERE 1; ","185","a00185"
186,"_1817_","1817","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1817_','a00186') WHERE 1; ","186","a00186"
187,"_1889_","1889","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1889_','a00187') WHERE 1; ","187","a00187"
188,"_1939_","1939","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1939_','a00188') WHERE 1; ","188","a00188"
189,"_1986_","1986","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1986_','a00189') WHERE 1; ","189","a00189"
190,"_2027_","2027","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2027_','a00190') WHERE 1; ","190","a00190"
191,"_2106_","2106","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2106_','a00191') WHERE 1; ","191","a00191"
192,"_2139_","2139","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2139_','a00192') WHERE 1; ","192","a00192"
193,"_2099_","2099","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2099_','a00193') WHERE 1; ","193","a00193"
194,"_2105_","2105","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2105_','a00194') WHERE 1; ","194","a00194"
195,"_2005_","2005","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2005_','a00195') WHERE 1; ","195","a00195"
196,"_1997_","1997","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1997_','a00196') WHERE 1; ","196","a00196"
197,"_2003_","2003","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2003_','a00197') WHERE 1; ","197","a00197"
198,"_2020_","2020","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_2020_','a00198') WHERE 1; ","198","a00198"
199,"_1776_","1776","UPDATE  `kprint_index_100506` set pind_list = REPLACE(pind_list,'_1776_','a00199') WHERE 1; ","199","a00199"
