kpid,"sti","acc","acc_txt",acc_int
278,"Convention Sermon","749","a00749",749
279,"Corinthians 11: 29, On 1","3140","a03140",3140
280,"Corr 1, 21, 1[First]","1643","a01643",1643
281,"Corrupt Clergy, A","842","a00842",842
282,"Corruption of Heart, On ","2048","a02048",2048
283,"Counsel of God & Future Glory","1870","a01870",1870
284,"Counsels of the Heart, On","3029","a03029",3029
285,"Covering sin; its evils, &c, &c ","1971","a01971",1971
286,"Creation","951","a00951",951
287,"Creed, On the ","273","a00273",273
288,"Creed, On the","385","a00385",385
289,"Creed, On the 10th Article of the ","263","a00263",263
290,"Creed, On the second article of the;","272","a00272",272
291,"Crime and Curse of Plundering, The","952","a00952",952
292,"Cross, On the","885","a00885",885
293,"Crowning with thorns, On the","433","a00433",433
294,"Crucifixion of The Flesh","1910","a01910",1910
295,"Cup of Blessing, The","999","a00999",999
296,"Daemoniac, The","748","a00748",748
297,"Danger of consenting to smaller offences, The","2205","a02205",2205
298,"Danger of ill advice, On the","1798","a01798",1798
299,"Danger of impenitence, On the","242","a00242",242
300,"Danger of Mocking Religion, The","657","a00657",657
301,"Danger of relapsing into former Sins, On ye","250","a00250",250
302,"Danger of riches, The","1821","a01821",1821
303,"Dangerous to live in sin","235f","a00235f",235
304,"Daniel & the Den of Lions","2051","a02051",2051
305,"Day of death better than the day of one's birth","2193","a02193",2193
306,"Day of judgment, On the","235l","a00235l",235
307,"Days of Darkness, On","3027","a03027",3027
308,"De Domini Cana.--un [sic. unum?] Deum","4047","a04047",4047
309,"Death as an Enemy, On","3003","a03003",3003
310,"Death Cannot Praise God","3127","a03127",3127
311,"Death of Edward Lloyd, On the","721","a00721",721
312,"Death of the Just, On the","231","a00231",231
313,"Death of the Old Year, On the","2179","a02179",2179
314,"Death, On","38","a00038",38
315,"Death, On","39","a00039",39
316,"Death, On","89","a00089",89
317,"Death, On","91","a00091",91
318,"Death, On","235d","a00235d",235
319,"Death, On","902","a00902",902
320,"Death, On Preparation for","95","a00095",95
321,"Death: Fragments","151","a00151",151
322,"Decay of Christianity, The","469","a00469",469
323,"Decree on the death of Pius VI","118","a00118",118
324,"Dedication of a chapel to the Virgin Mary, On the","63","a00063",63
325,"Dedication to God","476","a00476",476
326,"Defective righteousness of the Scribes & Pharisees","2097","a02097",2097
327,"Delaying to repent, On","291","a00291",291
328,"Delight in the Lord, On","3111","a03111",3111
329,"Delighting in God","1908","a01908",1908
330,"Deliverance from sea dangers","934qq","a00934qq",934
331,"Deliverance from sin, the End of Christ's coming","1700","a01700",1700
332,"Delusions of the world, On the","195","a00195",195
333,"Denial of the Existence of God, The","641","a00641",641
334,"Departing from Iniquity","2072","a02072",2072
335,"Descent into Hell, The","2177","a02177",2177
336,"Description of Judgment Day","4036","a04036",4036
337,"Desire of righteousness, Of the","1822","a01822",1822
338,"Detraction, On","218","a00218",218
339,"Detraction, On","1034","a01034",1034
340,"Devotion to Saints and their relics, On","81","a00081",81
341,"Devotion to the blessed virgin, On the","185","a00185",185
342,"Devotion, On","2202","a02202",2202
343,"Difficulty of Salvation, On the","255","a00255",255
344,"Discourse on Regulators in 1768","959","a00959",959
345,"Discourse on the Analogy between Christ crucified, & the brazen Serpent, A","981","a00981",981
346,"Discourses Delivered in Charleston","988","a00988",988
347,"Disease of Sin","4005","a04005",4005
348,"Displaying our light before men to the glory of God, On","2092","a02092",2092
349,"Dispositions for confession","258","a00258",258
350,"Dispositions necessary to receive profitably the Sacrament of penance, Of the","235p","a00235p",235
351,"Dispute with Papists (1), On the","3044","a03044",3044
352,"Dispute with Papists (2), On the","3045","a03045",3045
353,"Dispute with Papists (3), On the","3046","a03046",3046
354,"Dispute with Papists (4), On the","3047","a03047",3047
355,"Distinction between Doers & mere Hearers of the word","1752","a01752",1752
356,"Divine Assistance and Revelation, Concerning","3075","a03075",3075
357,"Divine goodness, On","43","a00043",43
358,"Divine Government the Joy of our World, The","946","a00946",946
359,"Divine Inspiration of the Scriptures, On the","1754","a01754",1754
360,"Divine Inspiration of the Scriptures, On the","1755","a01755",1755
361,"Divine Providence, Of a ","1847","a01847",1847
362,"Divine Wrath and Mercy, On","4028","a04028",4028
363,"Divinity of Christ & the Truth of His Revelation, The","633","a00633",633
364,"Doctrine of the Church, The","4026","a04026",4026
365,"Doctrine of the Triune God, The","639","a00639",639
366,"Doctrine, Morals, and Blasphemy, On","737","a00737",737
367,"Doing honor to priests, On","308","a00308",308
368,"Doubting, On","3016","a03016",3016
369,"Draw nigh to God","834","a00834",834
370,"Duties of a Xtian Minister, The","1778","a01778",1778
371,"Duties of Parents: Ephesians, VI, 4","160","a00160",160
372,"Duties Regarding the Sacrament of the Lord's Supper","1004","a01004",1004
373,"Duties Regarding the Sacrament of the Lord's Supper","1005","a01005",1005
374,"Duty in the Receiving of the Lord's Supper","1008","a01008",1008
375,"Duty of Man to his Creator, On the","980","a00980",980
